#UserGroup,user,groupName,,userName,DirectoryService
UserGroup,,设备组,,60000290,
UserGroup,,设备组,,60001195,
UserGroup,,设备组,,60011128,
UserGroup,,线束组,,60000048,
UserGroup,,线束组,,60000237,
UserGroup,,线束组,,60004885,
UserGroup,,线束组,,60011763,
UserGroup,,线束组,,60002559,
UserGroup,,线束组,,60010487,
UserGroup,,线束组,,60000103,
UserGroup,,线束组,,60008318,
UserGroup,,线束组,,60009525,
UserGroup,,线束组,,60006230,
UserGroup,,线束组,,60001039,
UserGroup,,线束组,,60002705,
UserGroup,,线束组,,60000153,
UserGroup,,线束组,,60008009,
UserGroup,,线束组,,60000360,
UserGroup,,线束组,,60007823,
UserGroup,,线束组,,60000232,
UserGroup,,线束组,,60000415,
UserGroup,,线束组,,60000470,
UserGroup,,线束组,,60006006,
UserGroup,,线束组,,60011662,
UserGroup,,线束组,,60012149,
UserGroup,,线束组,,60000089,
UserGroup,,线束组,,60000050,
UserGroup,,线束组,,60000181,
UserGroup,,线束组,,60009028,
UserGroup,,线束组,,60000042,
UserGroup,,线束组,,60000227,
UserGroup,,线束组,,60008817,
UserGroup,,线束组,,60005307,
UserGroup,,线束组,,60011148,
UserGroup,,线束组,,60008592,
UserGroup,,线束组,,60001904,
UserGroup,,线束组,,60002857,
UserGroup,,线束组,,60010505,
UserGroup,,线束组,,60010722,
UserGroup,,线束组,,60008807,
UserGroup,,线束组,,60009661,
UserGroup,,线束组,,60011143,
UserGroup,,线束组,,60011546,
UserGroup,,线束组,,60003035,
UserGroup,,线束组,,60000148,
UserGroup,,线束组,,60000224,
UserGroup,,线束组,,60000329,
UserGroup,,线束组,,60000416,
UserGroup,,线束组,,60000432,
UserGroup,,线束组,,60000434,
UserGroup,,线束组,,60002152,
UserGroup,,线束组,,60002653,
UserGroup,,线束组,,60006005,
UserGroup,,线束组,,60006514,
UserGroup,,线束组,,60007197,
UserGroup,,线束组,,60009020,
UserGroup,,线束组,,60009664,
UserGroup,,线束组,,60009663,
UserGroup,,线束组,,60009662,
UserGroup,,线束组,,60010080,
UserGroup,,线束组,,60012415,
UserGroup,,线束组,,60012493,
UserGroup,,线束组,,60000043,
UserGroup,,线束组,,60000433,
UserGroup,,线束组,,60011314,
UserGroup,,线束组,,60006229,
UserGroup,,线束组,,60008597,
UserGroup,,线束组,,60008786,
UserGroup,,线束组,,60012360,
